index	label	cortex	subcortex
1	7Networks_LH_Vis_1	True	False
2	7Networks_LH_Vis_2	True	False
3	7Networks_LH_Vis_3	True	False
4	7Networks_LH_Vis_4	True	False
5	7Networks_LH_Vis_5	True	False
6	7Networks_LH_Vis_6	True	False
7	7Networks_LH_Vis_7	True	False
8	7Networks_LH_Vis_8	True	False
9	7Networks_LH_Vis_9	True	False
10	7Networks_LH_SomMot_1	True	False
11	7Networks_LH_SomMot_2	True	False
12	7Networks_LH_SomMot_3	True	False
13	7Networks_LH_SomMot_4	True	False
14	7Networks_LH_SomMot_5	True	False
15	7Networks_LH_SomMot_6	True	False
16	7Networks_LH_DorsAttn_Post_1	True	False
17	7Networks_LH_DorsAttn_Post_2	True	False
18	7Networks_LH_DorsAttn_Post_3	True	False
19	7Networks_LH_DorsAttn_Post_4	True	False
20	7Networks_LH_DorsAttn_Post_5	True	False
21	7Networks_LH_DorsAttn_Post_6	True	False
22	7Networks_LH_DorsAttn_PrCv_1	True	False
23	7Networks_LH_DorsAttn_FEF_1	True	False
24	7Networks_LH_SalVentAttn_ParOper_1	True	False
25	7Networks_LH_SalVentAttn_FrOperIns_1	True	False
26	7Networks_LH_SalVentAttn_FrOperIns_2	True	False
27	7Networks_LH_SalVentAttn_PFCl_1	True	False
28	7Networks_LH_SalVentAttn_Med_1	True	False
29	7Networks_LH_SalVentAttn_Med_2	True	False
30	7Networks_LH_SalVentAttn_Med_3	True	False
31	7Networks_LH_Limbic_OFC_1	True	False
32	7Networks_LH_Limbic_TempPole_1	True	False
33	7Networks_LH_Limbic_TempPole_2	True	False
34	7Networks_LH_Cont_Par_1	True	False
35	7Networks_LH_Cont_PFCl_1	True	False
36	7Networks_LH_Cont_pCun_1	True	False
37	7Networks_LH_Cont_Cing_1	True	False
38	7Networks_LH_Default_Temp_1	True	False
39	7Networks_LH_Default_Temp_2	True	False
40	7Networks_LH_Default_Par_1	True	False
41	7Networks_LH_Default_Par_2	True	False
42	7Networks_LH_Default_PFC_1	True	False
43	7Networks_LH_Default_PFC_2	True	False
44	7Networks_LH_Default_PFC_3	True	False
45	7Networks_LH_Default_PFC_4	True	False
46	7Networks_LH_Default_PFC_5	True	False
47	7Networks_LH_Default_PFC_6	True	False
48	7Networks_LH_Default_PFC_7	True	False
49	7Networks_LH_Default_pCunPCC_1	True	False
50	7Networks_LH_Default_pCunPCC_2	True	False
51	7Networks_RH_Vis_1	True	False
52	7Networks_RH_Vis_2	True	False
53	7Networks_RH_Vis_3	True	False
54	7Networks_RH_Vis_4	True	False
55	7Networks_RH_Vis_5	True	False
56	7Networks_RH_Vis_6	True	False
57	7Networks_RH_Vis_7	True	False
58	7Networks_RH_Vis_8	True	False
59	7Networks_RH_SomMot_1	True	False
60	7Networks_RH_SomMot_2	True	False
61	7Networks_RH_SomMot_3	True	False
62	7Networks_RH_SomMot_4	True	False
63	7Networks_RH_SomMot_5	True	False
64	7Networks_RH_SomMot_6	True	False
65	7Networks_RH_SomMot_7	True	False
66	7Networks_RH_SomMot_8	True	False
67	7Networks_RH_DorsAttn_Post_1	True	False
68	7Networks_RH_DorsAttn_Post_2	True	False
69	7Networks_RH_DorsAttn_Post_3	True	False
70	7Networks_RH_DorsAttn_Post_4	True	False
71	7Networks_RH_DorsAttn_Post_5	True	False
72	7Networks_RH_DorsAttn_PrCv_1	True	False
73	7Networks_RH_DorsAttn_FEF_1	True	False
74	7Networks_RH_SalVentAttn_TempOccPar_1	True	False
75	7Networks_RH_SalVentAttn_TempOccPar_2	True	False
76	7Networks_RH_SalVentAttn_FrOperIns_1	True	False
77	7Networks_RH_SalVentAttn_Med_1	True	False
78	7Networks_RH_SalVentAttn_Med_2	True	False
79	7Networks_RH_Limbic_OFC_1	True	False
80	7Networks_RH_Limbic_TempPole_1	True	False
81	7Networks_RH_Cont_Par_1	True	False
82	7Networks_RH_Cont_Par_2	True	False
83	7Networks_RH_Cont_PFCl_1	True	False
84	7Networks_RH_Cont_PFCl_2	True	False
85	7Networks_RH_Cont_PFCl_3	True	False
86	7Networks_RH_Cont_PFCl_4	True	False
87	7Networks_RH_Cont_Cing_1	True	False
88	7Networks_RH_Cont_PFCmp_1	True	False
89	7Networks_RH_Cont_pCun_1	True	False
90	7Networks_RH_Default_Par_1	True	False
91	7Networks_RH_Default_Temp_1	True	False
92	7Networks_RH_Default_Temp_2	True	False
93	7Networks_RH_Default_Temp_3	True	False
94	7Networks_RH_Default_PFCv_1	True	False
95	7Networks_RH_Default_PFCv_2	True	False
96	7Networks_RH_Default_PFCdPFCm_1	True	False
97	7Networks_RH_Default_PFCdPFCm_2	True	False
98	7Networks_RH_Default_PFCdPFCm_3	True	False
99	7Networks_RH_Default_pCunPCC_1	True	False
100	7Networks_RH_Default_pCunPCC_2	True	False
101	HIP-rh	False	True
102	AMY-rh	False	True
103	pTHA-rh	False	True
104	aTHA-rh	False	True
105	NAc-rh	False	True
106	GP-rh	False	True
107	PUT-rh	False	True
108	CAU-rh	False	True
109	HIP-lh	False	True
110	AMY-lh	False	True
111	pTHA-lh	False	True
112	aTHA-lh	False	True
113	NAc-lh	False	True
114	GP-lh	False	True
115	PUT-lh	False	True
116	CAU-lh	False	True
