index	label	cortex	subcortex
1	7Networks_LH_Vis_1	True	False
2	7Networks_LH_Vis_2	True	False
3	7Networks_LH_Vis_3	True	False
4	7Networks_LH_Vis_4	True	False
5	7Networks_LH_Vis_5	True	False
6	7Networks_LH_Vis_6	True	False
7	7Networks_LH_Vis_7	True	False
8	7Networks_LH_Vis_8	True	False
9	7Networks_LH_Vis_9	True	False
10	7Networks_LH_SomMot_1	True	False
11	7Networks_LH_SomMot_2	True	False
12	7Networks_LH_SomMot_3	True	False
13	7Networks_LH_SomMot_4	True	False
14	7Networks_LH_SomMot_5	True	False
15	7Networks_LH_SomMot_6	True	False
16	7Networks_LH_DorsAttn_Post_1	True	False
17	7Networks_LH_DorsAttn_Post_2	True	False
18	7Networks_LH_DorsAttn_Post_3	True	False
19	7Networks_LH_DorsAttn_Post_4	True	False
20	7Networks_LH_DorsAttn_Post_5	True	False
21	7Networks_LH_DorsAttn_Post_6	True	False
22	7Networks_LH_DorsAttn_PrCv_1	True	False
23	7Networks_LH_DorsAttn_FEF_1	True	False
24	7Networks_LH_SalVentAttn_ParOper_1	True	False
25	7Networks_LH_SalVentAttn_FrOperIns_1	True	False
26	7Networks_LH_SalVentAttn_FrOperIns_2	True	False
27	7Networks_LH_SalVentAttn_PFCl_1	True	False
28	7Networks_LH_SalVentAttn_Med_1	True	False
29	7Networks_LH_SalVentAttn_Med_2	True	False
30	7Networks_LH_SalVentAttn_Med_3	True	False
31	7Networks_LH_Limbic_OFC_1	True	False
32	7Networks_LH_Limbic_TempPole_1	True	False
33	7Networks_LH_Limbic_TempPole_2	True	False
34	7Networks_LH_Cont_Par_1	True	False
35	7Networks_LH_Cont_PFCl_1	True	False
36	7Networks_LH_Cont_pCun_1	True	False
37	7Networks_LH_Cont_Cing_1	True	False
38	7Networks_LH_Default_Temp_1	True	False
39	7Networks_LH_Default_Temp_2	True	False
40	7Networks_LH_Default_Par_1	True	False
41	7Networks_LH_Default_Par_2	True	False
42	7Networks_LH_Default_PFC_1	True	False
43	7Networks_LH_Default_PFC_2	True	False
44	7Networks_LH_Default_PFC_3	True	False
45	7Networks_LH_Default_PFC_4	True	False
46	7Networks_LH_Default_PFC_5	True	False
47	7Networks_LH_Default_PFC_6	True	False
48	7Networks_LH_Default_PFC_7	True	False
49	7Networks_LH_Default_pCunPCC_1	True	False
50	7Networks_LH_Default_pCunPCC_2	True	False
51	7Networks_RH_Vis_1	True	False
52	7Networks_RH_Vis_2	True	False
53	7Networks_RH_Vis_3	True	False
54	7Networks_RH_Vis_4	True	False
55	7Networks_RH_Vis_5	True	False
56	7Networks_RH_Vis_6	True	False
57	7Networks_RH_Vis_7	True	False
58	7Networks_RH_Vis_8	True	False
59	7Networks_RH_SomMot_1	True	False
60	7Networks_RH_SomMot_2	True	False
61	7Networks_RH_SomMot_3	True	False
62	7Networks_RH_SomMot_4	True	False
63	7Networks_RH_SomMot_5	True	False
64	7Networks_RH_SomMot_6	True	False
65	7Networks_RH_SomMot_7	True	False
66	7Networks_RH_SomMot_8	True	False
67	7Networks_RH_DorsAttn_Post_1	True	False
68	7Networks_RH_DorsAttn_Post_2	True	False
69	7Networks_RH_DorsAttn_Post_3	True	False
70	7Networks_RH_DorsAttn_Post_4	True	False
71	7Networks_RH_DorsAttn_Post_5	True	False
72	7Networks_RH_DorsAttn_PrCv_1	True	False
73	7Networks_RH_DorsAttn_FEF_1	True	False
74	7Networks_RH_SalVentAttn_TempOccPar_1	True	False
75	7Networks_RH_SalVentAttn_TempOccPar_2	True	False
76	7Networks_RH_SalVentAttn_FrOperIns_1	True	False
77	7Networks_RH_SalVentAttn_Med_1	True	False
78	7Networks_RH_SalVentAttn_Med_2	True	False
79	7Networks_RH_Limbic_OFC_1	True	False
80	7Networks_RH_Limbic_TempPole_1	True	False
81	7Networks_RH_Cont_Par_1	True	False
82	7Networks_RH_Cont_Par_2	True	False
83	7Networks_RH_Cont_PFCl_1	True	False
84	7Networks_RH_Cont_PFCl_2	True	False
85	7Networks_RH_Cont_PFCl_3	True	False
86	7Networks_RH_Cont_PFCl_4	True	False
87	7Networks_RH_Cont_Cing_1	True	False
88	7Networks_RH_Cont_PFCmp_1	True	False
89	7Networks_RH_Cont_pCun_1	True	False
90	7Networks_RH_Default_Par_1	True	False
91	7Networks_RH_Default_Temp_1	True	False
92	7Networks_RH_Default_Temp_2	True	False
93	7Networks_RH_Default_Temp_3	True	False
94	7Networks_RH_Default_PFCv_1	True	False
95	7Networks_RH_Default_PFCv_2	True	False
96	7Networks_RH_Default_PFCdPFCm_1	True	False
97	7Networks_RH_Default_PFCdPFCm_2	True	False
98	7Networks_RH_Default_PFCdPFCm_3	True	False
99	7Networks_RH_Default_pCunPCC_1	True	False
100	7Networks_RH_Default_pCunPCC_2	True	False
101	HIP-head-m-rh	False	True
102	HIP-head-l-rh	False	True
103	HIP-body-rh	False	True
104	HIP-tail-rh	False	True
105	THA-VPm-rh	False	True
106	THA-VPl-rh	False	True
107	THA-VAi-rh	False	True
108	THA-VAs-rh	False	True
109	THA-DAm-rh	False	True
110	THA-DAl-rh	False	True
111	PUT-VA-rh	False	True
112	PUT-DA-rh	False	True
113	PUT-VP-rh	False	True
114	PUT-DP-rh	False	True
115	CAU-VA-rh	False	True
116	CAU-DA-rh	False	True
117	CAU-body-rh	False	True
118	CAU-tail-rh	False	True
119	lAMY-rh	False	True
120	mAMY-rh	False	True
121	THA-DP-rh	False	True
122	NAc-shell-rh	False	True
123	NAc-core-rh	False	True
124	pGP-rh	False	True
125	aGP-rh	False	True
126	HIP-head-m-lh	False	True
127	HIP-head-l-lh	False	True
128	HIP-body-lh	False	True
129	HIP-tail-lh	False	True
130	THA-VPm-lh	False	True
131	THA-VPl-lh	False	True
132	THA-VAi-lh	False	True
133	THA-VAs-lh	False	True
134	THA-DAm-lh	False	True
135	THA-DAl-lh	False	True
136	PUT-VA-lh	False	True
137	PUT-DA-lh	False	True
138	PUT-VP-lh	False	True
139	PUT-DP-lh	False	True
140	CAU-VA-lh	False	True
141	CAU-DA-lh	False	True
142	CAU-body-lh	False	True
143	CAU-tail-lh	False	True
144	lAMY-lh	False	True
145	mAMY-lh	False	True
146	THA-DP-lh	False	True
147	NAc-shell-lh	False	True
148	NAc-core-lh	False	True
149	pGP-lh	False	True
150	aGP-lh	False	True
